Cuenta de RFM DE;Etiquetas de columna;;;;;;
Etiquetas de fila;1;2;3;4;5;6;Total general
About to Sleep;33,07%;45,91%;2,31%;6,20%;12,25%;0,27%;100,00%
At Risk;2,19%;28,84%;7,93%;41,68%;5,33%;14,03%;100,00%
Cannot Lose Them;1,14%;26,48%;4,60%;54,63%;3,55%;9,60%;100,00%
Champions;1,30%;23,56%;9,78%;31,62%;3,36%;30,37%;100,00%
Hibernating;22,46%;42,59%;3,00%;21,11%;9,77%;1,07%;100,00%
Loyal;4,17%;32,53%;10,69%;27,54%;6,42%;18,65%;100,00%
Need Attention;5,21%;31,52%;5,83%;48,10%;5,78%;3,55%;100,00%
New Customers;31,15%;46,87%;1,50%;8,44%;11,79%;0,25%;100,00%
Perdidos;23,92%;41,99%;1,51%;23,32%;8,79%;0,47%;100,00%
Potential Loyalist;24,50%;53,91%;9,94%;2,49%;7,74%;1,42%;100,00%
Promising;0,78%;22,41%;2,69%;65,62%;5,22%;3,29%;100,00%
Total general;13,20%;34,65%;5,52%;29,10%;7,20%;10,33%;100,00%
;;;;;;;
;;;;;;;
;;;;;;;
Etiquetas de fila;Promedio de Despacho;Promedio de Lubricantes;Promedio de Neumaticos;Promedio de Repuestos;Promedio de Servicios;;
1;0%;0%;0%;2%;97%;;
2;0%;1%;1%;97%;1%;;
3;0%;43%;5%;49%;3%;;
4;0%;1%;92%;2%;5%;;
5;0%;95%;0%;4%;1%;;
6;0%;8%;57%;31%;4%;;
Total general;0%;11%;33%;41%;15%;;
